"Id","R","Nome","Squadra","Pv","Mv","Fm","Gf","Gs","Rp","Rc","R+","R-","Ass","Amm","Esp","Au"
"4312","P","Maignan","Milan","32","6.27","5.62","0","21","0","0","0","0","1","1","0","0"
"453","P","Szczesny","Juventus","33","6.12","5.48","0","29","3","0","0","0","0","2","0","0"
"2468","P","Ospina","Napoli","31","6.26","5.44","0","25","0","0","0","0","0","1","0","0"
"250","P","Handanovic","Inter","37","6.16","5.34","0","30","0","0","0","0","0","1","0","0"
"316","P","Berisha","Torino","10","6.1","5.55","0","8","1","0","0","0","0","1","0","0"
"4270","P","Rui Patricio","Roma","38","6.17","5.09","0","43","1","0","0","0","0","2","0","0"
"133","P","Skorupski","Bologna","36","6.24","4.79","0","53","1","0","0","0","0","4","0","0"
"1934","P","Strakosha","Lazio","23","6.04","4.74","0","29","0","0","0","0","0","2","0","0"
"2792","P","Musso","Atalanta","33","6.11","4.79","0","42","0","0","0","0","0","1","1","0"
"4964","P","Vicario","Empoli","38","6.42","4.72","0","70","2","0","0","0","0","1","0","0"
"509","P","Consigli","Sassuolo","37","6.27","4.62","0","63","1","0","0","0","0","2","0","0"
"761","P","Audero","Sampdoria","29","6.12","4.53","0","48","1","0","0","0","0","2","0","0"
"2170","P","Milinkovic-Savic V.","Torino","27","6.02","4.85","0","33","1","0","0","0","0","3","0","0"
"2211","P","Silvestri","Udinese","35","6.17","4.73","0","50","0","0","0","0","0","1","0","0"
"2815","P","Terracciano","Fiorentina","32","5.97","4.72","0","43","1","0","0","0","0","0","0","0"
"4957","P","Montipo'","Verona","34","6.09","4.69","0","50","1","0","0","0","0","1","0","0"
"2178","P","Cragno","Cagliari","35","6.24","4.57","0","63","2","0","0","0","0","3","0","0"
"2179","P","Sirigu","Genoa","37","6.2","4.64","0","59","1","0","0","0","0","0","0","1"
"159","P","Sepe","Salernitana","16","6.22","4.66","0","24","0","0","0","0","0","2","0","0"
"2814","P","Provedel","Spezia","31","6.26","4.48","0","52","0","0","0","0","0","2","0","1"
"5478","P","Maenpaa","Venezia","17","6.03","4.47","0","27","0","0","0","0","1","1","0","0"
"387","P","Reina","Lazio","15","5.97","4","0","29","0","0","0","0","1","3","0","0"
"572","P","Meret","Napoli","7","5.86","5","0","6","0","0","0","0","0","0","0","0"
"2134","P","Falcone","Sampdoria","10","6.45","4.95","0","14","0","0","0","0","0","2","0","0"
"4","P","Sportiello","Atalanta","5","6.3","5.3","0","5","0","0","0","0","0","0","0","0"
"720","P","Belec","Salernitana","23","6.09","4.07","0","49","1","0","0","0","0","1","0","0"
"799","P","Bardi","Bologna","2","6.25","5.25","0","2","0","0","0","0","0","0","0","0"
"543","P","Padelli","Udinese","3","6.17","3.5","0","8","0","0","0","0","0","0","0","0"
"1917","P","Dragowski","Fiorentina","7","6.14","5.29","0","8","1","0","0","0","0","0","1","0"
