"Id","R","Rm","Nome","Squadra","Pv","Mv","Fm","Gf","Gs","Rp","Rc","R+","R-","Ass","Amm","Esp","Au"
"572","P","Por","Meret","Napoli","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4312","P","Por","Maignan","Milan","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2814","P","Por","Provedel","Lazio","0","0","0","0","0","0","0","0","0","0","0","0","0"
"453","P","Por","Szczesny","Juventus","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2428","P","Por","Sommer","Inter","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4270","P","Por","Rui Patricio","Roma","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5876","P","Por","Di Gregorio","Monza","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4431","P","Por","Carnesecchi","Atalanta","0","0","0","0","0","0","0","0","0","0","0","0","0"
"133","P","Por","Skorupski","Bologna","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2170","P","Por","Milinkovic-Savic V.","Torino","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2815","P","Por","Terracciano","Fiorentina","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2211","P","Por","Silvestri","Udinese","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6120","P","Por","Ochoa","Salernitana","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","P","Por","Radunovic","Cagliari","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2134","P","Por","Falcone","Lecce","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5116","P","Por","Martinez Jo.","Genoa","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4360","P","Por","Caprile","Empoli","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4957","P","Por","Montipo'","Verona","0","0","0","0","0","0","0","0","0","0","0","0","0"
"509","P","Por","Consigli","Sassuolo","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4867","P","Por","Turati","Frosinone","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2178","P","Por","Cragno","Sassuolo","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2792","P","Por","Musso","Atalanta","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6403","P","Por","Christensen O.","Fiorentina","0","0","0","0","0","0","0","0","0","0","0","0","0"
"673","P","Por","Perisan","Empoli","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","P","Por","Sportiello","Milan","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","P","Por","Mirante","Milan","0","0","0","0","0","0","0","0","0","0","0","0","0"
"159","P","Por","Sepe","Salernitana","0","0","0","0","0","0","0","0","0","0","0","0","0"
"188","P","Por","Leali","Genoa","0","0","0","0","0","0","0","0","0","0","0","0","0"
"217","P","Por","Lamanna","Monza","0","0","0","0","0","0","0","0","0","0","0","0","0"
"218","P","Por","Perin","Juventus","0","0","0","0","0","0","0","0","0","0","0","0","0"
"219","P","Por","Sommariva","Genoa","0","0","0","0","0","0","0","0","0","0","0","0","0"
"510","P","Por","Pegolo","Sassuolo","0","0","0","0","0","0","0","0","0","0","0","0","0"
"511","P","Por","Perilli","Verona","0","0","0","0","0","0","0","0","0","0","0","0","0"
"543","P","Por","Padelli","Udinese","0","0","0","0","0","0","0","0","0","0","0","0","0"
"574","P","Por","Scuffet","Cagliari","0","0","0","0","0","0","0","0","0","0","0","0","0"
"610","P","Por","Gollini","Napoli","0","0","0","0","0","0","0","0","0","0","0","0","0"
"761","P","Por","Audero","Inter","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1926","P","Por","Di Gennaro","Inter","0","0","0","0","0","0","0","0","0","0","0","0","0"
